lga,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
 Alpine,185,150,197,218,245,236,232,169,181,165
 Ararat,462,520,462,501,435,638,591,497,486,646
 Ballarat,3403,3257,3128,3184,3142,3347,2840,3289,3561,4305
 Banyule,2883,2644,2782,2906,2967,3189,2375,2688,2737,3480
 Bass Coast,1105,979,998,823,799,1170,1066,1133,1067,1430
 Baw Baw,1390,1443,1395,1490,1584,2023,1649,1553,1813,2076
 Bayside,1190,1309,1319,1194,1077,1575,1110,1358,1527,1613
 Benalla,444,535,512,476,512,468,546,532,546,661
 Boroondara,1620,1990,1688,1577,1639,2119,1680,1748,2066,2520
 Brimbank,5425,5378,5403,5756,5779,7321,4776,5151,5164,5477
 Buloke,82,61,75,85,89,143,121,167,141,101
 Campaspe,1150,1155,1199,1147,1273,1309,1137,1186,1401,1584
 Cardinia,2211,2167,1792,1905,2257,2960,2072,2209,2217,3151
 Casey,6233,6875,6310,6804,7079,8649,6271,7039,7301,8548
 Central Goldfields,497,544,529,537,459,483,424,424,513,611
 Colac-Otway,682,754,573,594,602,759,706,614,653,807
 Corangamite,253,352,328,228,256,363,276,230,282,381
 Darebin,3693,4056,3660,3622,3528,5266,3792,3816,3998,5120
 East Gippsland,1737,1708,1776,1814,1843,2207,1893,1814,2027,2580
 Frankston,5352,5849,5120,5203,4949,6130,4438,4846,5238,5951
 Gannawarra,226,292,212,326,370,402,296,254,407,356
 Glen Eira,1637,1951,1760,1542,1671,2297,1738,1806,1957,2323
 Glenelg,644,675,647,570,658,646,724,638,664,875
 Golden Plains,152,203,198,157,159,191,152,193,174,214
 Greater Bendigo,3025,3681,3476,3665,3851,4042,3624,3571,3727,4806
 Greater Dandenong,6019,6383,5947,6058,6022,7589,5084,6003,5844,6993
 Greater Geelong,5609,6413,6352,6446,6590,7596,6369,6445,7037,8502
 Greater Shepparton,2622,3045,3033,3011,2933,3172,2939,2944,3053,3926
 Hepburn,203,247,228,229,281,248,166,170,211,247
 Hindmarsh,105,115,148,148,119,113,151,112,116,123
 Hobsons Bay,2134,1928,1818,2195,1923,2164,1872,1885,1855,2233
 Horsham,1194,1041,953,831,767,895,843,941,1041,1117
 Hume,5649,6173,5709,6793,6346,8669,5444,5734,5631,6727
 Indigo,141,218,154,149,145,221,167,274,211,198
 Justice Institutions and Immigration Facilities,518,837,880,986,894,784,554,577,603,521
 Kingston,3476,3400,3174,3482,3412,3994,2717,3387,3653,4196
 Knox,2979,3324,3441,3356,3347,3971,3197,3332,3249,4023
 Latrobe,5130,5443,5147,5368,4748,5377,4379,4653,4931,5647
 Loddon,134,185,124,168,148,193,200,144,138,178
 Macedon Ranges,683,751,665,768,722,1075,785,634,722,980
 Manningham,1109,1293,1246,1131,1264,1418,1133,1146,1381,1533
 Mansfield,172,268,197,142,162,214,183,122,175,195
 Maribyrnong,2592,2521,2206,2391,2434,2914,2207,2439,2506,3110
 Maroondah,2562,2798,2745,2807,2596,2840,2441,2804,2836,3205
 Melbourne,11198,11630,11530,11916,10816,14120,11042,9799,9563,10954
 Melton,2868,3022,3025,3022,3215,4634,3418,3559,3803,4370
 Merri-bek,3352,3397,3401,3598,3363,4268,2971,3087,3252,3813
 Mildura,2347,2784,2563,2822,2915,2743,2640,3058,3137,3760
 Mitchell,1462,1608,1519,1578,1495,1787,1323,1340,1434,2081
 Moira,669,744,860,742,864,883,830,803,928,935
 Monash,2389,2822,2567,2737,3001,4078,3016,3148,3361,4214
 Moonee Valley,2343,2573,2268,2446,2281,2902,2410,2280,2231,2682
 Moorabool,739,812,742,718,585,1056,743,678,786,965
 Mornington Peninsula,3929,4166,3957,3722,3483,4431,3324,3417,3491,4026
 Mount Alexander,418,412,341,370,374,376,367,332,387,550
 Moyne,225,218,214,213,249,270,279,231,199,278
 Murrindindi,261,231,269,298,228,374,264,270,249,276
 Nillumbik,691,770,690,678,673,780,604,537,532,780
 Northern Grampians,471,556,520,396,416,519,504,420,410,515
 Port Phillip,3291,3019,3389,3247,3155,4298,3132,3019,2992,3433
 Pyrenees,141,137,112,200,109,167,128,112,120,133
 Queenscliffe,42,42,21,43,22,32,36,14,12,33
 South Gippsland,508,549,532,516,597,706,573,710,705,848
 Southern Grampians,456,556,555,685,482,469,479,473,525,665
 Stonnington,2615,2951,2932,2979,2765,3940,2719,2983,3000,3528
 Strathbogie,170,206,197,199,180,222,183,166,159,269
 Surf Coast,354,432,352,340,354,518,465,380,372,413
 Swan Hill,1063,1003,1078,1049,962,1213,1068,965,874,1001
 Towong,82,107,86,66,63,67,55,69,92,66
 Unincorporated Vic,36,30,39,63,75,10,38,25,32,21
 Wangaratta,1029,1056,1071,897,894,1027,935,990,978,1159
 Warrnambool,1178,1314,1597,1763,1255,1338,1152,1214,1311,1576
 Wellington,1608,1627,1337,1547,1650,1931,1612,1674,1760,2250
 West Wimmera,63,61,60,56,61,60,77,42,65,84
 Whitehorse,1921,2047,2059,2219,2268,2848,1995,2016,2457,2874
 Whittlesea,3658,4481,4352,4914,4976,6250,4402,4616,4682,5913
 Wodonga,1431,1316,1298,1161,1211,1368,1265,1341,1450,1846
 Wyndham,4028,4360,4424,4727,5241,6527,5006,5901,5890,6421
 Yarra,3425,3395,3275,3273,3234,4863,3102,3093,3249,3889
 Yarra Ranges,2545,2780,2542,2523,2489,3193,2246,2494,2357,3073
 Yarriambiack,192,184,139,162,163,182,162,142,167,218
Total,151910,162309,155619,160668,158240,195830,149925,156069,162053,193347
